latin;cyrillic;gender
John;Джон;boy
William;Уильям;boy
James;Джеймс;boy
Charles;Чарльз;boy
George;Джордж;boy
Frank;Фрэнк;boy
Joseph;Джозеф;boy
Thomas;Томас;boy
Henry;Генри;boy
Robert;Роберт;boy
Edward;Эдвард;boy
Harry;Гарри;boy
Walter;Уолтер;boy
Arthur;Артур;boy
Fred;Фред;boy
Albert;Альберт;boy
Samuel;Самуэль;boy
David;Дэвид;boy
Louis;Луи;boy
Joe;Джо;boy
Charlie;Чарли;boy
Clarence;Кларенс;boy
Richard;Ричард;boy
Andrew;Эндрю;boy
Daniel;Дэниел;boy
Ernest;Эрнест;boy
Will;Уилл;boy
Jesse;Джесси;boy
Oscar;Оскар;boy
Lewis;Льюис;boy
Peter;Питер;boy
Benjamin;Бенджамин;boy
Frederick;Фредерик;boy
Willie;Уилли;boy
Alfred;Альфред;boy
Sam;Сэм;boy
Roy;Рой;boy
Herbert;Герберт;boy
Jacob;Джейкоб;boy
Tom;Том;boy
Elmer;Элмер;boy
Carl;Карл;boy
Lee;Ли;boy
Howard;Говард;boy
Martin;Мартин;boy
Michael;Майкл;boy
Bert;Берт;boy
Herman;Герман;boy
Jim;Джим;boy
Francis;Фрэнсис;boy
Harvey;Харви;boy
Earl;Эрл;boy
Eugene;Юджин;boy
Ralph;Ральф;boy
Ed;Эд;boy
Claude;Клод;boy
Edwin;Эдвин;boy
Ben;Бен;boy
Charley;Чарли;boy
Paul;Пол;boy
Edgar;Эдгар;boy
Isaac;Исаак;boy
Otto;Отто;boy
Luther;Лютер;boy
Lawrence;Лоуренс;boy
Ira;Ира;boy
Patrick;Патрик;boy
Guy;Гай;boy
Oliver;Оливер;boy
Theodore;Теодор;boy
Hugh;Хью;boy
Clyde;Клайд;boy
Alexander;Александр;boy
August;Август;boy
Floyd;Флойд;boy
Homer;Гомер;boy
Jack;Джек;boy
Leonard;Леонард;boy
Horace;Хорас;boy
Marion;Мэрион;boy
Philip;Филип;boy
Allen;Аллен;boy
Archie;Арчи;boy
Stephen;Стивен;boy
Chester;Честер;boy
Willis;Уиллис;boy
Raymond;Рэймонд;boy
Rufus;Руфус;boy
Warren;Уоррен;boy
Jessie;Джесси;boy
Milton;Милтон;boy
Alex;Алекс;boy
Leo;Лео;boy
Julius;Юлиус;boy
Ray;Рэй;boy
Sidney;Сидни;boy
Bernard;Бернард;boy
Dan;Дэн;boy
Jerry;Джерри;boy
Calvin;Кэлвин;boy
Perry;Перри;boy
Dave;Дэйв;boy
Anthony;Энтони;boy
Eddie;Эдди;boy
Amos;Амос;boy
Dennis;Деннис;boy
Clifford;Клиффорд;boy
Leroy;Лерой;boy
Wesley;Уэсли;boy
Alonzo;Алонзо;boy
Garfield;Гарфилд;boy
Franklin;Франклин;boy
Emil;Эмиль;boy
Leon;Леон;boy
Nathan;Натан;boy
Harold;Гарольд;boy
Matthew;Мэтью;boy
